ID	Uniprot
ZNF707	Q96C28
SIRT1	Q96EB6
HNRNPUL1	Q9BUJ2
TP63	Q9H3D4
SIX2	Q9NPC8
IKZF2	Q9UKS7
ZNF316	A6NFI3
HDAC3	O15379
HAND1	O96004
IGF1R	P08069
ZNF30	P17039
HOXB8	P17481
RFX1	P22670
HOXC13	P31276
TFAM	Q00059
IRF9	Q00978
LMNB2	Q03252
RUNX2	Q13950
NAB2	Q15742
ZBTB33	Q86T24
MGA	Q8IWI9
ZNF366	Q8N895
SMARCE1	Q969G3
BARHL1	Q9BZE3
PRDM6	Q9NQX0
UBP1	Q9NZI7
FOXP2	O15409
ZNF264	O43296
ESR1	P03372
TP53	P04637
HOXD4	P09016
NR2F1	P10589
CBX1	P83916
HOXC5	Q00444
MXD1	Q05195
ZBTB17	Q13105
CEBPE	Q15744
ZNF667	Q5HYK9
ZNF658	Q5TYW1
GRHL2	Q6ISB3
CDC73	Q6P1J9
PGBD5	Q8N414
ZNF512B	Q96KM6
ZBTB18	Q99592
EBNA1BP2	Q99848
PRDM9	Q9NQV7
SMCHD1	A6NHR9
RAD21	O60216
EGFR	P00533
INSR	P06213
ZSCAN22	P10073
ZNF3	P17036
HOXA10	P31260
HNRNPH1	P31943
BMI1	P35226
NR4A2	P43354
ISL1	P61371
FOXO4	P98177
ZNF660	Q6AZW8
BATF2	Q8N1L9
ZNF491	Q8N8L2
ZNF524	Q96C55
ZNF486	Q96H40
HINFP	Q9BQA5
HMG20B	Q9P0W2
ZNF785	A8K8V0
PGM3	O95394
LMNA	P02545
HOXB5	P09067
MYOD1	P15172
RPA2	P15927
ZNF16	P17020
ZNF24	P17028
OTX1	P32242
BCL6	P41182
CDX1	P47902
EVX1	P49640
SUMO1	P63165
COBLL1	Q53SF7
CTR9	Q6PD62
ING2	Q9H160
BCL11A	Q9H165
DMAP1	Q9NPF5
ZMYM2	Q9UBW7
IVNS1ABP	Q9Y6Y0
SUPT5H	O00267
DEAF1	O75398
HMGB1	P09429
ZNF22	P17026
H1-6	P22492
ID4	P47928
CSNK2A1	P68400
MAP2K1	Q02750
POU3F1	Q03052
SSRP1	Q08945
RBL2	Q08999
EP300	Q09472
IRF3	Q14653
CHD4	Q14839
BATF	Q16520
ZNF513	Q8N8E2
ZNF354B	Q96LW1
PRMT1	Q99873
PCGF6	Q9BYE7
HEY2	Q9UBP5
ZBTB5	O15062
NBN	O60934
NFAT5	O94916
ZBTB7A	O95365
ZBED1	O96006
POU2F2	P09086
ZNF708	P17019
KDM5C	P41229
PAX2	Q02962
ZNF33A	Q06730
SREBF2	Q12772
GTF3C1	Q12789
CREB3L2	Q70SY1
ZSCAN30	Q86W11
ZNF418	Q8TF45
WRNIP1	Q96S55
EPC1	Q9H2F5
RUVBL2	Q9Y230
KLF13	Q9Y2Y9
ZFP37	Q9Y6Q3
PHF2	O75151
NR1I2	O75469
HSP90AB1	P08238
IRF1	P10914
HOXA11	P31270
FOXA3	P55318
POU5F1	Q01860
BPTF	Q12830
SMC1A	Q14683
INO80	Q9ULG1
P51814	ZNF41
Q86UP3	ZFHX4
Q9Y467	SALL2
O94953	KDM4B
P20823	HNF1A
Q68E01	INTS3
O95785	WIZ
H3K18ac	H3K18AC
Q8N8C0	ZNF781
Q15583	TGIF1
O43251	RBFOX2
Q9UKL3	CASP8AP2
A0A023HHK9	
Q8NCP5	ZBTB44
P21675	TAF1
P0CG00	ZSCAN5DP
Q9H2H0	CXXC4
Q9NPA5	ZFP64
Q96T25	ZIC5
P49639	HOXA1
P55085	F2RL1
P56179	DLX6
A2NVP9	A2NVP9
Q9NQV6	PRDM10
O43474	KLF4
Q96L91	EP400
X5C3Z9	RUNX1
P05549	TFAP2A
Q8IZH1	SS18
A0A126GW21	OR2M7D
Q9NR11	ZNF302
P36402	TCF7
P52744	ZNF138
O43245	P65
Q16158	MYC
A6NDR6	MEIS3P1
A9YTQ3	AHRR
Q6LC06	TOP2BETA
Q9UM89	ZA
P33076	CIITA
P19544	WT1
Q9NQV5	PRDM11
Q86V81	ALYREF
