Bladder	Blood	Bone_Marrow	Eye	Fat	Heart	Large_Intestine	Liver	Lung	Lymph_Node	Mammary	Muscle	Pancreas	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Thymus	Tongue	Trachea	Uterus	Vasculature
HNF4A	1.67095021169402	0	1.16915251493117	0	0	43.744885470702	106.500589808286	15.9061387661261	3.42594259634204	1.93201710660725	3.08620196853924	4.65379494874714	34.8987588023878	1.36666997626605	2.24143170934284	1.89131203526694	95.9827437546718	4.45797698326211	1.87970763159882	0	2.66597681606126	1.88850597584996	1.4336234045326
NR4A2	13082.7822218581	3771.07607909594	739.849746214089	380.667004762312	4904.935357447	75.168427497753	3151.69997472481	1217.29472450748	4617.68529659755	30883.9356379417	994.115382894858	4401.4475880302	222.533964370818	2097.63351841581	9302.99718694599	2292.45364175861	3787.32743592927	17271.1113066116	12332.7195270208	1522.0635718939	1753.69509787243	1107.47235171063	3078.40092896709
RXRA	2004.16386955828	8880.95613780622	1015.28372374616	230.346647730694	1990.73798174487	666.252163129822	388.691288391127	385.503565575602	4361.40938147307	982.380339388316	499.847000575301	3397.9815477702	1130.12949786668	969.94175280219	1597.36913539251	496.998054768209	114.984604225568	3939.36985276832	1212.6641999682	260.933382511285	1040.44206888208	305.289069801339	1155.42107635303
EGR1	16786.7606727924	1697.60088553567	2570.3535145654	1235.7429284098	9766.95848712108	376.87808938382	4972.40819210553	384.510823766422	15149.9707752636	8888.71969890619	1549.64145405456	28874.7683187535	2569.27611175439	7352.1891770042	11432.4566825605	603.318032715941	1073.95354134232	8806.83595906014	6490.88958696867	1185.19601502486	4556.71430630818	2737.80952238929	6086.98959525073
ESR2	116.745181921487	322.531907737053	48.1678930231967	6.13683678849248	158.870762722309	2.43001660475913	49.3835912815174	0	132.866162698209	780.355471398068	88.0667232808475	169.567406580969	18.5502330782308	15.6280822034153	193.546886419214	40.467189643091	51.9997579440686	432.351084450262	450.212174840303	17.399386307295	43.2055667556366	42.2051307704259	13.8161141324334
RARB	121.220816719535	34.9591854629168	4.27566778588351	20.3786794872044	83.1020197492364	189.085270576718	83.2438220767889	13.1818592671845	283.872352798663	123.087042540284	87.1647284632113	434.026114926953	144.90590109901	175.590343113971	334.561506246707	34.464733258006	20.1631006773238	90.1243713646384	325.641762002259	12.1526545489105	195.321275829871	104.180354586163	126.830907762724
NR2C1	769.428851347047	1384.59487724572	109.66349298299	81.5851673395895	756.421296500026	528.017377158053	377.889070265409	49.07979462287	1176.09760976816	2486.92203032678	433.218986099695	1054.71243971821	368.303428102727	423.182909896878	806.271134102264	411.937054454798	238.097627599224	1003.25359200777	1530.4451990457	116.379071090268	318.33782241774	218.924607475496	450.166364821851
ATF2	1758.73084795015	2966.46597538539	437.966292800044	168.495185076658	1394.77274177214	747.210740322427	929.259458549549	102.210782951243	1906.51989128543	4833.34776566387	1095.45810615568	3604.23272157011	615.044290123739	1222.96576268189	1883.13908050226	877.869729856644	590.970769080493	2309.35510771851	2570.0720173112	249.984373292499	536.114081596197	590.480307186501	804.277634624183
FOSB	28207.5862633152	5524.85960894358	3267.13858793382	1657.94208727604	9438.99084195866	135.452164810238	9623.8651424789	863.896272621069	11266.7700799447	46075.9979217763	503.424055831232	27019.8442711663	380.414475294399	8178.51191036356	24321.0692931474	1252.90374462659	5825.12555034042	12169.9079659725	14131.2727588807	2571.51315191871	3706.54597328457	4785.71904258523	6823.17265788787
HOXA5	294.378387791621	213.159926441469	20.6994407768384	1.88391677573203	567.088301424421	16.177002742437	208.639301334516	25.4610082840917	886.488223015076	105.59316516713	338.625526415099	1244.95927069188	186.058393831389	877.156141433244	78.1983888833565	59.8029976149223	59.2596887500377	292.983982832849	159.317583624441	4.36267094096468	60.6946988414524	127.696239673015	443.664394854767
ESRRA	883.975541292457	1856.96580717772	286.532729751533	216.526323463196	798.481485172093	836.194183010622	294.163308560494	62.9818788128691	1699.56752049713	2094.69454256943	634.46385100477	1576.68311009382	643.165637447677	1732.2057688267	1835.87232858921	1223.39838303443	300.969513013051	1704.25373404057	1230.67162574437	154.66517189655	699.944493377954	320.974881719957	582.476587934519
FOSL2	8898.47561435393	8530.09028361408	924.194017227439	904.662267715806	5810.80810599502	813.495463043042	2828.05920764648	1115.56319583575	6206.21865612469	5403.22910985897	2853.71421084092	14487.4989087887	1481.29315092578	2054.509349332	2723.92939322423	3522.74982817907	2983.5115002119	10870.9877560099	4497.95104258794	1209.91357455837	2198.9630798005	2722.56978404366	2154.98919121449
MLX	1951.81627133317	5409.78111454377	670.991742950944	119.386276640984	1228.67052087895	746.83109549711	827.108026874371	118.68527510662	3099.59123578996	5132.37756026256	988.108765901911	1900.10436151617	893.227368534062	1279.76240419269	2037.17315702705	1060.19418786176	448.481898929308	3279.41507996817	2810.99105906837	243.435666328905	707.212101235963	411.829096015531	1039.71741780141
HOXB7	208.508206313088	76.7561285471812	2.21794122514237	1.98378257198356	871.301492925431	62.7092117770617	164.403619465155	1.78711665137668	222.959379226545	166.29430206398	81.6838851100068	987.70020664651	327.119023694378	3921.8630322214	37.4185283086656	122.070529707462	18.3509310190658	128.803477892518	176.78684727863	30.7490640588517	7.52871993701451	81.7214171836428	602.919453251759
SMAD1	526.744474376669	517.998432937929	15.4313283846263	161.711299497309	751.118949195477	814.562823330681	87.835439013312	51.7811425935193	1416.16061081723	241.544029631232	583.176423564603	1831.45717760657	815.914644460828	1068.51442936782	664.325175528849	430.775539175563	23.7370228374385	382.341580261657	690.830125161693	156.033464848141	509.978091399553	736.834521686279	493.951053642608
MXD1	5242.10007082405	18252.4352342374	4229.90503800631	420.79700909096	2266.14875650655	178.340836137526	844.087676742883	695.620536070127	2758.33663164548	5960.58760231007	899.093424590102	3070.84024774437	550.220209220983	987.260378459919	1855.56789748812	1358.5119405646	683.251577110361	11874.3686078936	1953.95993655218	495.143523472216	2427.22117010198	810.088782878226	803.486560112198
SMAD3	1959.81491039509	1855.69811439264	153.046775773166	417.727599425618	1475.83097390545	631.92592633044	742.024722702056	47.42660120342	1223.72001960772	5292.02720144248	1438.56982820438	4507.98865384113	353.254808728292	521.892551368808	1741.06570073224	885.352266017847	451.105434796937	2252.96301490585	2794.70772475872	191.852744275761	1254.97732600901	1309.88025216301	843.113779130244
MYC	7394.61082356565	2759.82160957534	118.822308805774	552.591491187223	5237.68486237894	743.558087577827	1935.02230555109	79.9518246313092	2797.47102115985	9667.90886453966	1775.37046688154	25367.4258946594	826.905731938318	1538.34642833636	3542.61465034657	1880.30176639633	926.53602942713	1886.6108131055	5156.46695997269	560.14311023717	1308.53460170043	1808.16577571086	1674.77056939401
MAFK	1446.13647970797	1292.96874498739	141.218221376627	291.393388023759	906.518412003383	508.347419309729	402.697356854255	118.118083762683	1471.41858534806	1273.51128371544	586.572699319533	4489.65405130342	454.106065562757	519.064996507796	795.418328026248	1046.5906106775	273.508876256076	1001.10822708903	914.841465483637	171.916633010352	458.955474141953	1042.80209146376	519.571357338024
NR0B1	39.1770291051874	0	0	3.42979590294306	13.3050051040349	0	2.42779390598806	0	1.29908907764106	0	11.6990703014222	16.6309694283393	2.2115620760452	0	20.7763310559425	3.94918266849135	0	0	0	1.17076135998933	4.43429365171132	0	2.299737407785
NR1H2	2852.5200602873	3764.86245220749	406.282835844482	214.325381996799	1751.63515713743	895.018622562273	1650.90826365824	93.4693345768753	3715.31197657042	6068.1472741011	1221.42744709024	2523.3951588843	961.691489996133	1579.22744439759	2090.28389089502	1157.77739704213	1113.95765142694	3852.43308649447	2990.93898062823	296.296101841696	637.474166232955	635.965761448439	1295.35458066137
NR1H4	20.8558911801909	0	0	0	0	4.37438972817291	4.94597547313535	31.1287963858021	5.6448043102086	0	0	0	17.2464147611821	8.29898076113532	0	0	17.5243871968958	0	0	1.90365330667493	0	0.728589662258604	3.6398650402078
ATF4	7953.88465312301	9726.63895308734	1601.25707315617	860.948721875633	5399.58165523445	2153.9957321851	4122.54593084159	208.182036350948	6477.44692614633	17402.8995727027	5234.03450519691	12661.6684112677	2142.16172173495	5206.25387228674	8274.09862681027	5135.73763567387	2551.22920333928	7755.42128146692	9296.75183986176	876.449443254289	2005.81553194166	3029.64384419984	3132.7185504846
HINFP	387.037294473394	928.388878983795	132.515544964605	56.3752168008263	402.354642879508	239.353321425233	217.111237567614	40.5475003906853	563.777979832572	1783.12907475424	377.466905210625	719.387791881283	231.495260442882	277.723085923522	542.272984452788	402.675345697565	157.121136279397	714.140562710092	843.917341117045	82.8951973301502	188.533901950279	124.464261343026	163.228965711709
DR1	2329.96249984946	7628.44310335983	1412.22271497229	426.786259201668	1451.83730805067	1011.62561527955	1161.65327608425	158.256590968802	3528.60115622217	7451.39641844542	1383.94656770671	2889.96507123238	1057.58493263115	1436.12993291113	2454.58004736288	1471.50534065475	706.199810416222	4442.99088643015	3946.52755105648	428.331357205143	993.442815970108	577.634055527371	1112.79810725365
CREB3	1520.1829648671	1198.98077699335	103.963161703398	158.58389376169	766.113531350738	998.566472921266	1005.36472282745	49.856834156376	1396.86672194293	2214.5923136085	1372.36230665734	1286.76959898441	596.525858622276	1585.40315540541	1788.60930156607	1030.66169678761	502.900062651894	1265.6699463606	1100.36338340939	160.663252622346	343.857618370974	409.423023902767	663.470264092089
NFYB	1896.64656371478	2188.37409579975	190.598142026472	208.018635067976	1508.96007132279	1550.12451744985	533.017458394809	72.4656112273276	2489.80394512824	4950.47827738974	1241.24178097381	4489.11474496283	661.696866284603	4648.4038289911	1697.32818794409	620.395845239438	289.334438316751	2150.98721043437	2716.79623422308	255.401608920266	563.643664199782	376.638816074717	1469.57803385571
VDR	473.880079190834	675.958670059182	140.488280000521	49.9801190334973	143.782794075597	1.24725468327683	143.055602788096	126.632802252263	649.803141458754	141.796892170923	285.146280935505	298.226488621862	102.257319350076	176.15587105326	219.785965511161	273.483567666068	74.4871546305311	486.046793428634	119.393299002527	69.014267267679	226.76688721339	110.219753349448	88.5437298394258
DDIT3	4349.82341732665	4117.19987334027	308.38152601388	261.67995607845	1602.69597729295	750.773722466117	1840.44123379072	80.0099032259807	2237.46108124713	12862.4562104866	3223.49554243426	2188.1746972318	339.711655783399	2677.03733354684	1947.94467930529	1537.81607452071	1221.49549644548	3423.31598543938	3758.02585457957	339.677059434374	1094.29275323691	1500.70825554408	1585.68795127668
ARNTL2	171.097826548126	50.8121810603897	0.784701711628912	24.952021432608	41.0397757913229	38.6385861555751	6.5781613195566	25.1561187357528	169.405494859871	31.8272114056886	117.166174032648	187.072571321311	29.2623289336816	15.0942097050156	116.997209694333	374.189220191064	5.39797250945175	27.594324457823	47.0387936188915	52.9740264415149	368.648867921382	95.9561288199597	87.8603746498254
PPARG	732.767486758593	566.205346621806	7.97999363204207	30.2885027329615	2681.00847385963	468.858355148598	165.48020743683	46.6155131593634	1595.61594369554	210.017586971502	267.070769449405	1538.51158118721	621.736338169213	119.249448362385	467.264699004498	430.492690316783	43.6950792261971	366.122864958832	1548.81211404225	145.184874796674	219.298079537477	146.375194534073	415.299073767047
CEBPG	1603.90530149813	2757.48553246947	193.115554733619	244.778131128429	1448.77668624116	1168.29195321724	1224.53435748863	108.436276041266	2388.38173733745	3522.03289526982	1238.60229209607	3665.67940340613	1498.96151775123	813.800949681632	1403.9713235683	1277.06356427824	788.124779664735	2066.49767386174	2280.557406763	265.429868363716	701.422982701947	772.346368627983	791.798093755576
HSF2	635.749471025698	1062.04292360991	101.730482150426	91.7234915146058	412.486134648706	368.897447554116	320.445013298073	44.8732328831197	629.12452060335	3137.01503775078	443.497262319692	682.735238660153	210.733854027048	473.188985570272	786.664615885377	644.070071777438	244.94209321372	1037.36361525388	1878.79107723326	150.993235718091	270.006624076277	158.192202159606	271.187289713264
JUN	24161.7360139161	16890.1558531229	3257.7682857408	1690.89716187683	11883.0379929921	2860.42323273275	9895.18495863511	473.940875707779	19302.2682318994	71008.2465544281	4769.92750958541	27359.104436887	2997.1960126692	12836.2854300749	29015.745478304	3592.39771037092	6934.8065921939	17599.9196188895	22030.0271719564	2672.09407296215	5889.24712135238	7576.38986361938	10161.5740672207
E2F1	68.0936149365143	110.211127352912	16.2156671189695	8.03185390285075	55.9131428050475	110.838732711713	103.645559238726	23.125007919344	83.8881995571315	150.282530852236	14.7231541432547	31.7830202466295	11.559779108271	6.16318570579767	51.9258064932057	159.327075244276	58.1143718962547	111.462017625553	54.9986263702116	11.4746458172342	71.4911066198608	19.1583329193179	14.9208623138894
NR1I2	2.79690776461773	6.84198847095538	0.733674631923167	1.35119793049337	0	0	7.60058056411026	1.64632853801392	9.05065657602465	15.877963038422	1.48586893971067	2.36280935062827	0.741816888987552	0	11.8062892691666	0	32.0828161180393	4.92459726166626	5.45963757428444	0	2.01377502192806	0	2.5028335052214
ETS1	5422.33231746379	14275.3894389207	2334.70515250012	300.596622904772	6329.18251563043	2572.62155054523	8338.1409415251	200.29826418674	4396.40600910418	36383.701955042	5495.50090532174	9871.68485397078	2975.24693856487	2394.31303629928	8716.59558469858	6296.06120294231	5437.59690161851	17008.0261355385	20600.4912614058	1787.52674480232	1246.35698757421	3116.9741171532	1645.72191604415
NR2F1	3266.38399189454	0	0	88.9143418196105	337.82003346035	54.5828931701739	534.247634005035	59.0231798452752	830.705085033218	66.5690727783199	150.842106061915	582.818844607085	165.843857230404	451.061565240311	830.517051964028	118.625339130812	51.7981559937834	17.2613634417203	626.37952541842	56.6815587977193	271.886937782214	152.703880331601	315.638263092297
MAFG	3607.05900333002	3031.02500040996	975.212289537659	409.493958491663	1572.56060544121	450.484010284842	1167.82482256707	121.06185894262	2038.74420512309	3542.29314044774	1381.01139767804	5506.7616577185	698.721733801764	664.675086997591	1662.51308129222	3034.43626994566	738.76597166224	2215.24993720427	1771.26566317309	305.077327424617	774.365659352914	1255.49236358479	782.593214167294
MAFF	10819.1606795916	2642.48577150194	290.578772408993	1095.50384814644	3294.33124486582	362.342021625851	3295.64500948078	206.051184795979	2840.01793717282	4594.55725158844	2310.718559885	14260.7655539631	491.952410194754	2869.27040014069	3787.1092058347	2861.431085757	1458.87070071174	5911.78877734435	2313.17111928279	656.57070080494	1033.62109634115	2628.43131963225	1606.31024948722
