PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	2	G04	93445	1724	10	ENSG00000170653	334	ENSG00000169016	No	G	04
AD2U	2	G05	1272	235	159	A3F908	159	A3F908	Yes	G	05
PGADT7	2	G05	46	11	0	ENSG00000245848	3	ENSG00000162772	No	G	05
AD2U	2	G06	95	14	0	P16812	4	P03120	No	G	06
PGADT7	2	G06	21	2	0	ENSG00000107187	1	ENSG00000077092	No	G	06
AD2U	2	G07	162444	42544	36988	P06788	36988	P06788	Yes	G	07
PGADT7	2	G07	11710	3405	2896	ENSG00000169016	2896	ENSG00000169016	Yes	G	07
AD2U	2	G08	2279	284	0	NA	32	P03256	NA	G	08
PGADT7	2	G08	1150	53	0	NA	16	ENSG00000169016	NA	G	08
AD2U	2	G09	5874	256	0	D0EF64	32	P03256	No	G	09
PGADT7	2	G09	115	16	0	ENSG00000205250	4	ENSG00000162772	No	G	09
AD2U	2	G10	234	111	96	P10541	96	P10541	Yes	G	10
PGADT7	2	G10	9	0	0	NA	NA	NA	NA	G	10
AD2U	2	G11	153172	4858	0	P0C686	820	P03256	No	G	11
PGADT7	2	G11	12100	3608	3071	ENSG00000137947	3071	ENSG00000137947	Yes	G	11
AD2U	2	G12	4646	241	0	NA	32	P03256	NA	G	12
PGADT7	2	G12	2627	99	0	NA	18	ENSG00000169016	NA	G	12
AD2U	2	H01	16	5	0	P12978	2	Q9JFM0	No	H	01
PGADT7	2	H01	9	0	0	ENSG00000137947	NA	NA	NA	H	01
AD2U	2	H02	123595	55776	51215	P06930	51215	P06930	Yes	H	02
PGADT7	2	H02	4152	1061	674	ENSG00000126456	674	ENSG00000126456	Yes	H	02
AD2U	2	H03	929	84	0	NA	14	ENSG00000077092	NA	H	03
PGADT7	2	H03	455	21	0	NA	5	ENSG00000162772	NA	H	03
AD2U	2	H04	3625	151	0	NA	20	P03256	NA	H	04
PGADT7	2	H04	76	10	0	ENSG00000245848	3	ENSG00000105392	No	H	04
AD2U	2	H05	154426	59651	55180	Q9JFM0	55180	Q9JFM0	Yes	H	05
PGADT7	2	H05	4385	1089	697	ENSG00000197024	697	ENSG00000197024	Yes	H	05
AD2U	2	H06	78403	42076	39261	P03259	39261	P03259	Yes	H	06
PGADT7	2	H06	1310	196	0	ENSG00000101412	40	ENSG00000169016	No	H	06
AD2U	2	H07	83866	45462	42859	P03256	42859	P03256	Yes	H	07
PGADT7	2	H07	11420	3292	2839	ENSG00000077092	2839	ENSG00000077092	Yes	H	07
AD2U	2	H08	283	103	0	NA	13	P03256	NA	H	08
PGADT7	2	H08	3484	966	889	ENSG00000175197	889	ENSG00000175197	Yes	H	08
AD2U	2	H09	128988	62731	58112	A3F905	58112	A3F905	Yes	H	09
PGADT7	2	H09	15728	4924	4	ENSG00000141510	4442	ENSG00000169016	No	H	09
AD2U	2	H10	7924	514	0	NA	80	P03256	NA	H	10
PGADT7	2	H10	5524	175	0	NA	39	ENSG00000169016	NA	H	10
AD2U	2	H11	7082	554	0	NA	84	P03256	NA	H	11
PGADT7	2	H11	25257	8804	8378	ENSG00000205250	8378	ENSG00000205250	Yes	H	11
AD2U	2	H12	10117	550	0	NA	71	P03256	NA	H	12
PGADT7	2	H12	5073	238	0	NA	47	ENSG00000205250	NA	H	12
AD2U	3	A01	471	370	0	NA	317	Q9JFM0	NA	A	01
PGADT7	3	A01	51	5	0	NA	1	ENSG00000126456	NA	A	01
AD2U	3	A02	112440	4907	0	D0EF64	537	P03238	No	A	02
PGADT7	3	A02	11272	3571	3055	ENSG00000169016	3055	ENSG00000169016	Yes	A	02
AD2U	3	A03	83752	3304	0	P0C686	353	A3F905	No	A	03
PGADT7	3	A03	13241	4360	1344	ENSG00000175197	2499	ENSG00000153879	No	A	03
AD2U	3	A04	26069	13598	12249	P06726	12249	P06726	Yes	A	04
PGADT7	3	A04	24403	8104	7450	ENSG00000160062	7450	ENSG00000160062	Yes	A	04
AD2U	3	A05	86961	49839	46312	P03259	46312	P03259	Yes	A	05
PGADT7	3	A05	1569	390	109	ENSG00000100811	109	ENSG00000100811	Yes	A	05
AD2U	3	A06	68621	35312	32275	P06463	32275	P06463	Yes	A	06
PGADT7	3	A06	12662	4163	2	ENSG00000141510	3776	ENSG00000169016	No	A	06
AD2U	3	A07	88245	48757	45327	P03256	45327	P03256	Yes	A	07
PGADT7	3	A07	1218	247	0	ENSG00000118260	61	ENSG00000169016	No	A	07
AD2U	3	A08	47837	25128	22017	P14079	22017	P14079	Yes	A	08
PGADT7	3	A08	5755	256	0	ENSG00000185591	47	ENSG00000169016	No	A	08
AD2U	3	A09	6640	805	0	NA	87	ENSG00000115966	NA	A	09
PGADT7	3	A09	19854	7721	7273	ENSG00000167967	7273	ENSG00000167967	Yes	A	09
AD2U	3	A10	8026	808	0	NA	78	P03238	NA	A	10
PGADT7	3	A10	29597	8156	7584	ENSG00000115966	7584	ENSG00000115966	Yes	A	10
AD2U	3	A11	112067	53159	49156	P03238	49156	P03238	Yes	A	11
PGADT7	3	A11	1638	366	22	ENSG00000205250	94	ENSG00000169016	No	A	11
AD2U	3	A12	36182	19401	18097	P06726	18097	P06726	Yes	A	12
PGADT7	3	A12	5941	294	0	NA	65	ENSG00000169016	NA	A	12
AD2U	3	B01	2813	235	0	NA	24	A3F906	NA	B	01
PGADT7	3	B01	1591	70	0	NA	14	ENSG00000169016	NA	B	01
AD2U	3	B02	126	8	0	NA	2	ENSG00000100644	NA	B	02
PGADT7	3	B02	66	5	0	NA	2	ENSG00000169016	NA	B	02
AD2U	3	B03	95246	24150	19645	P03129	19645	P03129	Yes	B	03
PGADT7	3	B03	3486	1010	651	ENSG00000167967	651	ENSG00000167967	Yes	B	03
AD2U	3	B04	102	75	0	P06790	65	P04485	No	B	04
PGADT7	3	B04	0	0	0	ENSG00000245848	NA	NA	NA	B	04
AD2U	3	B05	9	7	0	NA	5	ENSG00000160062	NA	B	05
PGADT7	3	B05	0	0	0	NA	NA	NA	NA	B	05
AD2U	3	B06	115641	8368	3909	P03169	3909	P03169	Yes	B	06
PGADT7	3	B06	2055	464	132	ENSG00000115415	132	ENSG00000115415	Yes	B	06
AD2U	3	B07	35169	19624	18272	P03255	18272	P03255	Yes	B	07
PGADT7	3	B07	2641	776	606	ENSG00000115415	606	ENSG00000115415	Yes	B	07
AD2U	3	B08	6088	478	0	NA	50	A3F905	NA	B	08
PGADT7	3	B08	4317	194	0	NA	39	ENSG00000169016	NA	B	08
AD2U	3	B09	85358	20208	16248	A3F906	16248	A3F906	Yes	B	09
PGADT7	3	B09	16412	5024	4485	ENSG00000169016	4485	ENSG00000169016	Yes	B	09
AD2U	3	B10	85972	41084	37454	A3F905	37454	A3F905	Yes	B	10
PGADT7	3	B10	3058	974	650	ENSG00000126456	650	ENSG00000126456	Yes	B	10
AD2U	3	B11	6921	2098	24	P12977	265	P03238	No	B	11
PGADT7	3	B11	117545	2602	0	ENSG00000106546	611	ENSG00000169016	No	B	11
AD2U	3	B12	5374	419	0	NA	55	ENSG00000115966	NA	B	12
PGADT7	3	B12	3820	136	0	NA	21	ENSG00000169016	NA	B	12
AD2U	3	C01	1694	124	0	NA	12	P03255	NA	C	01
PGADT7	3	C01	853	38	0	NA	7	ENSG00000290292	NA	C	01
AD2U	3	C02	96239	25719	21114	P03129	21114	P03129	Yes	C	02
PGADT7	3	C02	12527	3837	3326	ENSG00000169016	3326	ENSG00000169016	Yes	C	02
AD2U	3	C03	2833	463	0	NA	50	P03238	NA	C	03
PGADT7	3	C03	25112	8994	8562	ENSG00000107187	8562	ENSG00000107187	Yes	C	03
AD2U	3	C04	5461	486	0	NA	56	P03256	NA	C	04
PGADT7	3	C04	3250	192	0	NA	41	ENSG00000169016	NA	C	04
AD2U	3	C05	64734	35759	33218	P03256	33218	P03256	Yes	C	05
PGADT7	3	C05	971	179	0	ENSG00000101412	33	ENSG00000290292	No	C	05
AD2U	3	C06	34558	1463	0	P03126	150	P03238	No	C	06
PGADT7	3	C06	1776	495	373	ENSG00000100644	373	ENSG00000100644	Yes	C	06
AD2U	3	C07	101153	48467	43832	P06930	43832	P06930	Yes	C	07
PGADT7	3	C07	3934	1219	12	ENSG00000100644	811	ENSG00000261992	No	C	07
AD2U	3	C08	34554	1458	0	P03126	140	P03238	No	C	08
PGADT7	3	C08	3395	211	0	NA	36	ENSG00000169016	NA	C	08
AD2U	3	C09	140476	56739	51973	Q9JFM0	51973	Q9JFM0	Yes	C	09
PGADT7	3	C09	5821	1992	1502	ENSG00000105392	1502	ENSG00000105392	Yes	C	09
AD2U	3	C10	114753	34350	29175	P06932	29175	P06932	Yes	C	10
PGADT7	3	C10	6131	2005	1547	ENSG00000167967	1547	ENSG00000167967	Yes	C	10
AD2U	3	C11	5099	816	0	NA	92	P03238	NA	C	11
PGADT7	3	C11	38564	865	0	ENSG00000204531	184	ENSG00000169016	No	C	11
AD2U	3	C12	82157	24125	20275	P06932	20275	P06932	Yes	C	12
PGADT7	3	C12	22195	6942	6277	ENSG00000169016	6277	ENSG00000169016	Yes	C	12
AD2U	3	D01	5528	439	0	NA	47	A3F905	NA	D	01
PGADT7	3	D01	3113	142	0	NA	20	ENSG00000169016	NA	D	01
AD2U	3	D02	98198	46052	42768	Q9JFM0	42768	Q9JFM0	Yes	D	02
PGADT7	3	D02	1516	228	0	NA	56	ENSG00000169016	NA	D	02
AD2U	3	D03	29132	14731	11956	P03255	11956	P03255	Yes	D	03
PGADT7	3	D03	108927	2415	15	ENSG00000170653	572	ENSG00000169016	No	D	03
AD2U	3	D04	44547	2372	0	P03126	239	P03238	No	D	04
PGADT7	3	D04	11300	4307	3887	ENSG00000126456	3887	ENSG00000126456	Yes	D	04
AD2U	3	D05	18	12	2	P06790	5	Q9JFM0	No	D	05
PGADT7	3	D05	3	1	1	ENSG00000137947	1	ENSG00000137947	Yes	D	05
AD2U	3	D06	100764	23171	19060	A3F906	19060	A3F906	Yes	D	06
PGADT7	3	D06	3343	989	653	ENSG00000205250	653	ENSG00000205250	Yes	D	06
AD2U	3	D07	54	8	0	P03126	2	ENSG00000162772	No	D	07
PGADT7	3	D07	3	2	0	ENSG00000141646	1	ENSG00000162772	No	D	07
AD2U	3	D08	7780	613	0	NA	66	P03238	NA	D	08
PGADT7	3	D08	11895	4378	4023	ENSG00000123358	4023	ENSG00000123358	Yes	D	08
AD2U	3	D09	4730	1146	0	NA	139	P03238	NA	D	09
PGADT7	3	D09	56637	32077	30884	ENSG00000290292	30884	ENSG00000290292	Yes	D	09
AD2U	3	D10	436	156	6	P12978	20	P03238	No	D	10
PGADT7	3	D10	7745	2124	1970	ENSG00000168214	1970	ENSG00000168214	Yes	D	10
AD2U	3	D11	3615	793	0	NA	96	P03238	NA	D	11
PGADT7	3	D11	39786	14176	41	ENSG00000083838	13292	ENSG00000137947	No	D	11
AD2U	3	D12	2011	869	519	P03204	519	P03204	Yes	D	12
PGADT7	3	D12	12688	378	0	NA	70	ENSG00000169016	NA	D	12
AD2U	3	E01	6586	581	0	NA	133	ENSG00000100644	NA	E	01
PGADT7	3	E01	3527	161	0	NA	26	ENSG00000169016	NA	E	01
AD2U	3	E02	84801	21448	16446	A3F906	16446	A3F906	Yes	E	02
PGADT7	3	E02	3109	923	599	ENSG00000167967	599	ENSG00000167967	Yes	E	02
AD2U	3	E03	104528	43016	28725	P03255	28725	P03255	Yes	E	03
PGADT7	3	E03	2796	749	8	ENSG00000123268	461	ENSG00000169016	No	E	03
AD2U	3	E04	113468	22663	16958	P04608	16958	P04608	Yes	E	04
PGADT7	3	E04	2269	418	0	NA	88	ENSG00000169016	NA	E	04
AD2U	3	E05	60943	34546	32339	P03255	32339	P03255	Yes	E	05
PGADT7	3	E05	2200	559	349	ENSG00000115966	349	ENSG00000115966	Yes	E	05
AD2U	3	E06	31281	16065	14404	A3F908	14404	A3F908	Yes	E	06
PGADT7	3	E06	20424	6756	0	ENSG00000141510	6261	ENSG00000169016	No	E	06
AD2U	3	E07	5775	1177	0	NA	134	P03238	NA	E	07
PGADT7	3	E07	51285	17215	16128	ENSG00000169016	16128	ENSG00000169016	Yes	E	07
AD2U	3	E08	3652	260	0	NA	26	P03238	NA	E	08
PGADT7	3	E08	2307	99	0	NA	19	ENSG00000169016	NA	E	08
AD2U	3	E09	77599	44002	40996	P03256	40996	P03256	Yes	E	09
PGADT7	3	E09	1523	195	0	NA	65	ENSG00000169016	NA	E	09
AD2U	3	E10	6724	643	0	NA	66	P03238	NA	E	10
PGADT7	3	E10	15100	5553	336	ENSG00000100644	4841	ENSG00000261992	No	E	10
AD2U	3	E11	675	29	0	P0C686	4	A3F905	No	E	11
PGADT7	3	E11	43	12	0	ENSG00000186350	6	ENSG00000197063	No	E	11
AD2U	3	E12	112617	53369	48607	P03238	48607	P03238	Yes	E	12
PGADT7	3	E12	19905	6312	5660	ENSG00000169016	5660	ENSG00000169016	Yes	E	12
AD2U	3	F01	5106	377	0	NA	34	P03238	NA	F	01
PGADT7	3	F01	2805	154	0	NA	32	ENSG00000169016	NA	F	01
AD2U	3	F02	86685	40767	156	P06932	37699	P03238	No	F	02
PGADT7	3	F02	1283	226	0	NA	49	ENSG00000169016	NA	F	02
AD2U	3	F03	12133	5532	0	NA	4612	ENSG00000162599	NA	F	03
PGADT7	3	F03	12984	3445	0	NA	3017	ENSG00000162599	NA	F	03
AD2U	3	F04	83033	40127	36364	A3F905	36364	A3F905	Yes	F	04
PGADT7	3	F04	1362	269	0	NA	64	ENSG00000169016	NA	F	04
AD2U	3	F05	16857	8055	0	P0C686	7470	A3F905	No	F	05
PGADT7	3	F05	258	49	0	ENSG00000245848	10	ENSG00000290292	No	F	05
AD2U	3	F06	3467	1402	0	NA	1205	P06463	NA	F	06
PGADT7	3	F06	1192	63	0	NA	13	ENSG00000169016	NA	F	06
AD2U	3	F07	6571	430	0	NA	40	P03255	NA	F	07
PGADT7	3	F07	3888	177	0	NA	36	ENSG00000169016	NA	F	07
AD2U	3	F08	97945	46772	176	P14079	42931	A3F905	No	F	08
PGADT7	3	F08	5594	2000	1545	ENSG00000105392	1545	ENSG00000105392	Yes	F	08
AD2U	3	F09	46054	22697	2	P12978	20614	P14079	No	F	09
PGADT7	3	F09	704	131	0	ENSG00000066336	41	ENSG00000169016	No	F	09
AD2U	3	F10	1389	788	2	P06788	583	P12978	No	F	10
PGADT7	3	F10	537	187	42	ENSG00000101412	128	ENSG00000168286	No	F	10
AD2U	3	F11	93635	25740	209	A3F908	21407	P06788	No	F	11
PGADT7	3	F11	8568	2768	2301	ENSG00000137947	2301	ENSG00000137947	Yes	F	11
AD2U	3	F12	51105	26997	0	NA	24456	A3F908	NA	F	12
PGADT7	3	F12	25598	9810	9118	ENSG00000158773	9118	ENSG00000158773	Yes	F	12
AD2U	3	G01	2604	219	0	NA	26	P03256	NA	G	01
PGADT7	3	G01	1568	94	0	NA	25	ENSG00000169016	NA	G	01
AD2U	3	G02	41441	18467	16895	P04485	16895	P04485	Yes	G	02
PGADT7	3	G02	1109	129	0	NA	38	ENSG00000169016	NA	G	02
AD2U	3	G03	78980	43330	39895	P10407	39895	P10407	Yes	G	03
PGADT7	3	G03	2705	312	0	NA	68	ENSG00000169016	NA	G	03
AD2U	3	G04	2037	286	0	NA	48	P03256	NA	G	04
PGADT7	3	G04	8912	2541	2301	ENSG00000168214	2301	ENSG00000168214	Yes	G	04
AD2U	3	G05	4524	558	0	NA	47	ENSG00000196482	NA	G	05
PGADT7	3	G05	14288	4726	4359	ENSG00000196482	4359	ENSG00000196482	Yes	G	05
AD2U	3	G06	75388	16728	13401	A3F906	13401	A3F906	Yes	G	06
PGADT7	3	G06	1297	235	0	NA	69	ENSG00000169016	NA	G	06
AD2U	3	G07	46615	25249	22750	P03255	22750	P03255	Yes	G	07
PGADT7	3	G07	47941	16225	14973	ENSG00000162772	14973	ENSG00000162772	Yes	G	07
AD2U	3	G08	55747	30326	27966	P03120	27966	P03120	Yes	G	08
PGADT7	3	G08	1665	179	0	NA	45	ENSG00000169016	NA	G	08
AD2U	3	G09	90376	44508	40491	P06463	40491	P06463	Yes	G	09
PGADT7	3	G09	2485	620	19	ENSG00000100644	275	ENSG00000261992	No	G	09
AD2U	3	G10	28098	1133	0	Q9DUN1	115	A3F905	No	G	10
PGADT7	3	G10	1975	585	481	ENSG00000100644	481	ENSG00000100644	Yes	G	10
AD2U	3	G11	109796	23967	0	NA	14149	P04608	NA	G	11
PGADT7	3	G11	1829	376	0	NA	99	ENSG00000169016	NA	G	11
AD2U	3	G12	45650	24041	22069	A3F908	22069	A3F908	Yes	G	12
PGADT7	3	G12	8136	3140	2816	ENSG00000105392	2816	ENSG00000105392	Yes	G	12
AD2U	3	H01	1695	122	0	NA	11	P03255	NA	H	01
PGADT7	3	H01	1237	63	0	NA	16	ENSG00000169016	NA	H	01
AD2U	3	H02	2534	226	0	NA	25	P03238	NA	H	02
PGADT7	3	H02	2009	92	0	NA	15	ENSG00000169016	NA	H	02
AD2U	3	H03	1135	70	0	NA	9	P03238	NA	H	03
PGADT7	3	H03	625	31	0	NA	4	ENSG00000162772	NA	H	03
AD2U	3	H04	3424	257	0	NA	47	A3F905	NA	H	04
PGADT7	3	H04	2333	107	0	NA	17	ENSG00000169016	NA	H	04
AD2U	3	H05	3744	257	0	NA	26	A3F905	NA	H	05
PGADT7	3	H05	2213	97	0	NA	23	ENSG00000169016	NA	H	05
AD2U	3	H06	4913	327	0	NA	39	P03238	NA	H	06
PGADT7	3	H06	3963	156	0	NA	26	ENSG00000169016	NA	H	06
AD2U	3	H07	4043	249	0	NA	32	P03238	NA	H	07
PGADT7	3	H07	2948	111	0	NA	26	ENSG00000169016	NA	H	07
AD2U	3	H08	5259	361	0	NA	41	P03238	NA	H	08
PGADT7	3	H08	2676	95	0	NA	18	ENSG00000169016	NA	H	08
AD2U	3	H09	4334	315	0	NA	37	P06463	NA	H	09
PGADT7	3	H09	3393	129	0	NA	20	ENSG00000169016	NA	H	09
AD2U	3	H10	5401	378	0	NA	32	A3F905	NA	H	10
PGADT7	3	H10	3361	159	0	NA	26	ENSG00000169016	NA	H	10
AD2U	3	H11	9826	547	0	NA	56	A3F905	NA	H	11
PGADT7	3	H11	2950	125	0	NA	22	ENSG00000169016	NA	H	11
AD2U	3	H12	7199	681	0	NA	234	P06726	NA	H	12
PGADT7	3	H12	4366	165	0	NA	41	ENSG00000169016	NA	H	12
AD2U	4	A01	197780	52561	44962	P06788	44962	P06788	Yes	A	01
PGADT7	4	A01	3482	774	205	ENSG00000167967	205	ENSG00000167967	Yes	A	01
AD2U	4	A02	7946	451	0	NA	70	P03256	NA	A	02
PGADT7	4	A02	5212	203	0	NA	30	ENSG00000290292	NA	A	02
AD2U	4	A03	227	46	0	NA	10	P03256	NA	A	03
PGADT7	4	A03	1057	322	0	ENSG00000095794	273	ENSG00000113916	No	A	03
AD2U	4	A04	126016	66963	34500	P06790	34500	P06790	Yes	A	04
PGADT7	4	A04	1692	349	26	ENSG00000141510	84	ENSG00000163320	No	A	04
AD2U	4	A05	14695	916	0	NA	156	P03256	NA	A	05
PGADT7	4	A05	9301	360	0	NA	65	ENSG00000172466	NA	A	05
AD2U	4	A06	157735	93064	87606	P0C746	87606	P0C746	Yes	A	06
PGADT7	4	A06	3476	393	0	NA	78	ENSG00000163320	NA	A	06
AD2U	4	A07	81960	48532	45901	P03256	45901	P03256	Yes	A	07
PGADT7	4	A07	1034	200	10	ENSG00000100811	47	ENSG00000290292	No	A	07
AD2U	4	A08	177681	104367	97664	P03256	97664	P03256	Yes	A	08
PGADT7	4	A08	57436	1618	0	ENSG00000204531	300	ENSG00000163320	No	A	08
AD2U	4	A09	181683	91384	83942	P06463	83942	P06463	Yes	A	09
PGADT7	4	A09	3262	557	0	NA	149	ENSG00000163320	NA	A	09
AD2U	4	A10	4648	259	0	NA	36	P03256	NA	A	10
PGADT7	4	A10	114	18	0	ENSG00000143190	3	ENSG00000137947	No	A	10
AD2U	4	A11	77537	46303	43823	P03259	43823	P03259	Yes	A	11
PGADT7	4	A11	954	191	1	ENSG00000118260	51	ENSG00000163320	No	A	11
AD2U	4	A12	4576	289	0	NA	40	P03256	NA	A	12
PGADT7	4	A12	3474	145	0	NA	20	ENSG00000163320	NA	A	12
AD2U	4	B01	176	26	0	P0C686	6	P03259	No	B	01
PGADT7	4	B01	151	6	0	ENSG00000141646	2	ENSG00000160062	No	B	01
AD2U	4	B02	1683	55	0	P03264	6	P03259	No	B	02
PGADT7	4	B02	31	7	5	ENSG00000143190	5	ENSG00000143190	Yes	B	02
AD2U	4	B03	6544	467	0	NA	68	P03256	NA	B	03
PGADT7	4	B03	3498	170	0	NA	29	ENSG00000172466	NA	B	03
AD2U	4	B04	53788	29303	27150	P06790	27150	P06790	Yes	B	04
PGADT7	4	B04	2895	235	0	NA	41	ENSG00000290292	NA	B	04
AD2U	4	B05	1226	81	0	D0EF64	10	P03256	No	B	05
PGADT7	4	B05	61	21	14	ENSG00000141510	14	ENSG00000141510	Yes	B	05
AD2U	4	B06	104049	60477	57203	Q89743	57203	Q89743	Yes	B	06
PGADT7	4	B06	11015	3903	3439	ENSG00000141510	3439	ENSG00000141510	Yes	B	06
AD2U	4	B07	32111	1554	0	P03126	225	P03259	No	B	07
PGADT7	4	B07	11119	3611	3255	ENSG00000141510	3255	ENSG00000141510	Yes	B	07
AD2U	4	B08	71437	38289	33334	P16812	33334	P16812	Yes	B	08
PGADT7	4	B08	187103	74070	71100	ENSG00000163320	71100	ENSG00000163320	Yes	B	08
AD2U	4	B09	11955	710	0	NA	114	P03256	NA	B	09
PGADT7	4	B09	7020	318	0	NA	67	ENSG00000172466	NA	B	09
AD2U	4	B10	12263	5491	4883	P04498	4883	P04498	Yes	B	10
PGADT7	4	B10	504	152	110	ENSG00000107187	110	ENSG00000107187	Yes	B	10
AD2U	4	B11	8104	544	0	NA	81	P03256	NA	B	11
PGADT7	4	B11	4401	214	0	NA	32	ENSG00000172466	NA	B	11
AD2U	4	B12	3033	220	0	NA	43	P03256	NA	B	12
PGADT7	4	B12	1946	108	0	NA	19	ENSG00000172466	NA	B	12
AD2U	4	C01	217054	7128	0	P0C686	959	P03256	No	C	01
PGADT7	4	C01	2796	531	0	NA	136	ENSG00000163320	NA	C	01
AD2U	4	C02	708	282	24	P12978	48	ENSG00000126351	No	C	02
PGADT7	4	C02	14236	439	0	NA	68	ENSG00000172466	NA	C	02
AD2U	4	C03	2381	139	0	NA	17	P03259	NA	C	03
PGADT7	4	C03	1354	63	0	NA	12	ENSG00000172466	NA	C	03
AD2U	4	C04	77825	42832	39653	P03169	39653	P03169	Yes	C	04
PGADT7	4	C04	3509	340	0	NA	50	ENSG00000163320	NA	C	04
AD2U	4	C05	217801	45486	37193	A3F906	37193	A3F906	Yes	C	05
PGADT7	4	C05	2918	608	0	ENSG00000101412	147	ENSG00000163320	No	C	05
AD2U	4	C06	102	45	0	P03120	33	P10238	No	C	06
PGADT7	4	C06	21	7	0	ENSG00000245848	3	ENSG00000163320	No	C	06
AD2U	4	C07	47079	28159	26017	P10238	26017	P10238	Yes	C	07
PGADT7	4	C07	9451	525	0	NA	101	ENSG00000172466	NA	C	07
AD2U	4	C08	1867	452	375	P06788	375	P06788	Yes	C	08
PGADT7	4	C08	16	6	1	ENSG00000197024	1	ENSG00000077092	No	C	08
AD2U	4	C09	25469	13873	12787	P06921	12787	P06921	Yes	C	09
PGADT7	4	C09	9092	3229	3006	ENSG00000141510	3006	ENSG00000141510	Yes	C	09
AD2U	4	C10	4489	320	0	NA	43	P03256	NA	C	10
PGADT7	4	C10	1486	536	455	ENSG00000127445	455	ENSG00000127445	Yes	C	10
AD2U	4	C11	30118	6718	5580	P03129	5580	P03129	Yes	C	11
PGADT7	4	C11	430	88	0	ENSG00000101412	24	ENSG00000163320	No	C	11
AD2U	4	C12	5304	341	0	NA	39	P03256	NA	C	12
PGADT7	4	C12	2951	142	0	NA	23	ENSG00000172466	NA	C	12
AD2U	4	D01	9016	579	0	NA	85	P03256	NA	D	01
PGADT7	4	D01	5216	227	0	NA	31	ENSG00000172466	NA	D	01
AD2U	4	D02	120111	70128	66398	P03256	66398	P03256	Yes	D	02
PGADT7	4	D02	3220	746	454	ENSG00000115966	454	ENSG00000115966	Yes	D	02
AD2U	4	D03	67344	2274	0	P03264	324	P03259	No	D	03
PGADT7	4	D03	3818	300	0	NA	47	ENSG00000163320	NA	D	03
AD2U	4	D04	89323	47793	44058	P06790	44058	P06790	Yes	D	04
PGADT7	4	D04	21588	9019	8235	ENSG00000105392	8235	ENSG00000105392	Yes	D	04
AD2U	4	D05	140	74	37	Q2HR73	37	Q2HR73	Yes	D	05
PGADT7	4	D05	924	330	312	ENSG00000126456	312	ENSG00000126456	Yes	D	05
AD2U	4	D06	36215	19417	17594	F5HCV3	17594	F5HCV3	Yes	D	06
PGADT7	4	D06	20199	633	0	NA	106	ENSG00000172466	NA	D	06
AD2U	4	D07	13181	3327	0	NA	2437	ENSG00000162599	NA	D	07
PGADT7	4	D07	5618	275	0	NA	55	ENSG00000172466	NA	D	07
AD2U	4	D08	33147	15931	0	NA	14141	ENSG00000162599	NA	D	08
PGADT7	4	D08	26351	3573	2692	ENSG00000162599	2692	ENSG00000162599	Yes	D	08
AD2U	4	D09	87505	51489	0	P03264	46172	P03259	No	D	09
PGADT7	4	D09	33134	2905	1846	ENSG00000162599	1846	ENSG00000162599	Yes	D	09
AD2U	4	D10	89505	53498	49947	P03259	49947	P03259	Yes	D	10
PGADT7	4	D10	26413	869	0	ENSG00000204531	140	ENSG00000290292	No	D	10
AD2U	4	D11	30107	16382	11728	P03169	11728	P03169	Yes	D	11
PGADT7	4	D11	5744	1512	1274	ENSG00000141510	1274	ENSG00000141510	Yes	D	11
AD2U	4	D12	9567	791	0	NA	235	P03169	NA	D	12
PGADT7	4	D12	4641	201	0	NA	36	ENSG00000141510	NA	D	12
AD2U	4	E01	26587	13899	12150	P06921	12150	P06921	Yes	E	01
PGADT7	4	E01	46735	17829	16746	ENSG00000137947	16746	ENSG00000137947	Yes	E	01
AD2U	4	E02	169057	84422	78022	P03238	78022	P03238	Yes	E	02
PGADT7	4	E02	2883	503	0	NA	119	ENSG00000163320	NA	E	02
AD2U	4	E03	26272	14248	12376	Q2HR71	12376	Q2HR71	Yes	E	03
PGADT7	4	E03	34970	14397	13520	ENSG00000126456	13520	ENSG00000126456	Yes	E	03
AD2U	4	E04	21721	10551	7556	P06921	7556	P06921	Yes	E	04
PGADT7	4	E04	153668	30828	28260	ENSG00000290292	28260	ENSG00000290292	Yes	E	04
AD2U	4	E05	11935	1315	0	NA	177	P03256	NA	E	05
PGADT7	4	E05	49827	19267	17909	ENSG00000126351	17909	ENSG00000126351	Yes	E	05
AD2U	4	E06	4306	311	0	NA	48	P03256	NA	E	06
PGADT7	4	E06	3122	134	0	NA	17	ENSG00000163320	NA	E	06
AD2U	4	E07	33130	17705	16241	P06726	16241	P06726	Yes	E	07
PGADT7	4	E07	9460	3548	3152	ENSG00000197024	3152	ENSG00000197024	Yes	E	07
AD2U	4	E08	130468	76088	70676	P03255	70676	P03255	Yes	E	08
PGADT7	4	E08	44628	13607	12220	ENSG00000077092	12220	ENSG00000077092	Yes	E	08
AD2U	4	E09	13135	834	0	NA	118	P03256	NA	E	09
PGADT7	4	E09	7189	316	0	NA	44	ENSG00000290292	NA	E	09
AD2U	4	E10	134558	79102	59	P12977	73975	ENSG00000173039	No	E	10
PGADT7	4	E10	5492	1787	1260	ENSG00000123358	1260	ENSG00000123358	Yes	E	10
AD2U	4	E11	4365	900	0	NA	123	P03256	NA	E	11
