PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	1	C12	631	24	0	ENSG00000131931	3	ENSG00000163320	No	C	12
AD2U	1	D01	3734	220	0	NA	31	ENSG00000162772	NA	D	01
PGADT7	1	D01	2305	85	0	NA	9	ENSG00000137947	NA	D	01
AD2U	1	D02	4285	3232	0	NA	3190	Q9JFM0	NA	D	02
PGADT7	1	D02	272	10	0	NA	2	ENSG00000100811	NA	D	02
AD2U	1	D03	7058	3280	2916	P03203	2916	P03203	Yes	D	03
PGADT7	1	D03	7216	1545	1393	ENSG00000168214	1393	ENSG00000168214	Yes	D	03
AD2U	1	D04	8289	417	0	NA	49	P03256	NA	D	04
PGADT7	1	D04	6354	216	0	NA	32	ENSG00000163320	NA	D	04
AD2U	1	D05	152	75	60	Q2HR73	60	Q2HR73	Yes	D	05
PGADT7	1	D05	341	13	0	NA	3	ENSG00000163320	NA	D	05
AD2U	1	D06	2493	292	0	NA	48	ENSG00000126456	NA	D	06
PGADT7	1	D06	12307	4284	4052	ENSG00000126456	4052	ENSG00000126456	Yes	D	06
AD2U	1	D07	120083	29908	25619	P03129	25619	P03129	Yes	D	07
PGADT7	1	D07	2201	463	105	ENSG00000197024	105	ENSG00000197024	Yes	D	07
AD2U	1	D08	79207	34067	31310	P06930	31310	P06930	Yes	D	08
PGADT7	1	D08	1232	204	0	NA	55	ENSG00000163320	NA	D	08
AD2U	1	D09	60537	31022	29548	Q89743	29548	Q89743	Yes	D	09
PGADT7	1	D09	748	100	0	NA	23	ENSG00000163320	NA	D	09
AD2U	1	D10	10885	2439	2036	P03129	2036	P03129	Yes	D	10
PGADT7	1	D10	1021	342	292	ENSG00000205250	292	ENSG00000205250	Yes	D	10
AD2U	1	D11	1979	133	0	NA	17	P03129	NA	D	11
PGADT7	1	D11	3077	1090	987	ENSG00000197024	987	ENSG00000197024	Yes	D	11
AD2U	1	D12	1740	92	0	NA	11	P03129	NA	D	12
PGADT7	1	D12	734	24	0	NA	5	ENSG00000163320	NA	D	12
AD2U	1	E01	4061	219	0	NA	29	P03255	NA	E	01
